id,text,label
1,Breaking: earthquake just occurred in Mumbai. Emergency crews on site.,0
3,Breaking: earthquake just occurred in Tokyo. Emergency crews on site.,0
4,Confirmed by authorities: earthquake in San Francisco caused significant damage.,0
5,Leaked audio: flood was man-made.,1
6,Fake alert: Tsunami in Mumbai — no official sources confirm.,1
9,Leaked audio: wildfire was man-made.,1
11,Breaking: earthquake just occurred in San Francisco. Emergency crews on site.,0
17,Fake alert: Tsunami in Tokyo — no official sources confirm.,1
20,Leaked audio: tsunami was man-made.,1
22,Breaking: earthquake just occurred in San Francisco. Emergency crews on site.,0
23,Fake alert: Tsunami in Istanbul — no official sources confirm.,1
24,Confirmed by authorities: earthquake in Tokyo caused significant damage.,0
25,Jakarta faces severe earthquake. Stay tuned to official channels.,0
26,Confirmed by authorities: earthquake in Mumbai caused significant damage.,0
29,Aliens caused the tsunami in Tokyo. Wake up!,1
31,Aliens caused the earthquake in Istanbul. Wake up!,1
32,Leaked audio: tsunami was man-made.,1
37,Breaking: earthquake just occurred in Tokyo. Emergency crews on site.,0
38,Confirmed by authorities: earthquake in San Francisco caused significant damage.,0
40,Fake alert: Tsunami in San Francisco — no official sources confirm.,1
41,Fake alert: Tsunami in Jakarta — no official sources confirm.,1
42,Confirmed by authorities: earthquake in Tokyo caused significant damage.,0
44,Aliens caused the earthquake in Jakarta. Wake up!,1
45,Aliens caused the wildfire in Tokyo. Wake up!,1
46,Confirmed by authorities: earthquake in Istanbul caused significant damage.,0
49,Mumbai faces severe wildfire. Stay tuned to official channels.,0
50,Leaked audio: wildfire was man-made.,1
53,Confirmed by authorities: earthquake in Tokyo caused significant damage.,0
54,Confirmed by authorities: earthquake in San Francisco caused significant damage.,0
56,Leaked audio: tsunami was man-made.,1
58,Aliens caused the wildfire in Mumbai. Wake up!,1
59,Breaking: earthquake just occurred in Jakarta. Emergency crews on site.,0
61,Breaking: earthquake just occurred in Mumbai. Emergency crews on site.,0
62,Leaked audio: flood was man-made.,1
63,Breaking: earthquake just occurred in Mumbai. Emergency crews on site.,0
66,Breaking: earthquake just occurred in Jakarta. Emergency crews on site.,0
67,San Francisco faces severe tsunami. Stay tuned to official channels.,0
68,Leaked audio: flood was man-made.,1
69,Confirmed by authorities: earthquake in San Francisco caused significant damage.,0
72,Istanbul faces severe wildfire. Stay tuned to official channels.,0
76,Aliens caused the wildfire in San Francisco. Wake up!,1
78,Fake alert: Tsunami in Mumbai — no official sources confirm.,1
80,Breaking: earthquake just occurred in Mumbai. Emergency crews on site.,0
81,Breaking: earthquake just occurred in Istanbul. Emergency crews on site.,0
86,Fake alert: Tsunami in Jakarta — no official sources confirm.,1
88,Leaked audio: tsunami was man-made.,1
90,Fake alert: Tsunami in San Francisco — no official sources confirm.,1
91,Istanbul faces severe tsunami. Stay tuned to official channels.,0
94,Jakarta faces severe earthquake. Stay tuned to official channels.,0
95,Fake alert: Tsunami in San Francisco — no official sources confirm.,1
96,San Francisco faces severe earthquake. Stay tuned to official channels.,0
97,Confirmed by authorities: earthquake in San Francisco caused significant damage.,0
99,Leaked audio: earthquake was man-made.,1
100,Fake alert: Tsunami in San Francisco — no official sources confirm.,1
